id,value,student_id,remarkable_type,remarkable_id,created_at,updated_at
76024,2.7,76025,Course,213,2022-03-03 09:44:56.946465,2022-03-03 09:44:56.946465
76025,3.9,76026,Course,213,2022-03-03 09:44:58.114007,2022-03-03 09:44:58.114007
76026,3.6,76027,Course,213,2022-03-03 09:44:59.393224,2022-03-03 09:44:59.393224
76027,7.1,76028,Course,213,2022-03-03 09:45:00.685179,2022-03-03 09:45:00.685179
76028,8.6,76029,Course,213,2022-03-03 09:45:02.179116,2022-03-03 09:45:02.179116
76029,1.8,76030,Course,213,2022-03-03 09:45:03.545978,2022-03-03 09:45:03.545978
76030,3.7,76031,Course,213,2022-03-03 09:45:04.846003,2022-03-03 09:45:04.846003
76031,7.1,76032,Course,213,2022-03-03 09:45:06.26491,2022-03-03 09:45:06.26491
76032,3.9,76033,Course,213,2022-03-03 09:45:07.620548,2022-03-03 09:45:07.620548
76033,9.1,76034,Course,213,2022-03-03 09:45:08.913281,2022-03-03 09:45:08.913281
76034,0.8,76035,Course,213,2022-03-03 09:45:10.245162,2022-03-03 09:45:10.245162
76035,8.1,76036,Course,213,2022-03-03 09:45:11.545765,2022-03-03 09:45:11.545765
76036,5.3,76037,Course,213,2022-03-03 09:45:12.849162,2022-03-03 09:45:12.849162
76037,6.8,76038,Course,213,2022-03-03 09:45:14.102298,2022-03-03 09:45:14.102298
76038,0.7,76039,Course,213,2022-03-03 09:45:15.369031,2022-03-03 09:45:15.369031
76039,6.0,76040,Course,213,2022-03-03 09:45:16.671307,2022-03-03 09:45:16.671307
76040,7.4,76041,Course,213,2022-03-03 09:45:17.936728,2022-03-03 09:45:17.936728
76041,1.6,76042,Course,213,2022-03-03 09:45:19.178005,2022-03-03 09:45:19.178005
76042,0.8,76043,Course,213,2022-03-03 09:45:20.44481,2022-03-03 09:45:20.44481
76043,9.2,76044,Course,213,2022-03-03 09:45:21.740486,2022-03-03 09:45:21.740486
76044,4.8,76045,Course,213,2022-03-03 09:45:22.964333,2022-03-03 09:45:22.964333
76045,5.6,76046,Course,213,2022-03-03 09:45:24.18399,2022-03-03 09:45:24.18399
76046,4.2,76047,Course,213,2022-03-03 09:45:25.426601,2022-03-03 09:45:25.426601
76047,2.8,76048,Course,213,2022-03-03 09:45:26.640467,2022-03-03 09:45:26.640467
76048,9.0,76049,Course,213,2022-03-03 09:45:27.951834,2022-03-03 09:45:27.951834
76049,1.8,76050,Course,213,2022-03-03 09:45:29.271025,2022-03-03 09:45:29.271025
76050,9.0,76051,Course,213,2022-03-03 09:45:30.668115,2022-03-03 09:45:30.668115
76051,6.4,76052,Course,213,2022-03-03 09:45:32.063579,2022-03-03 09:45:32.063579
76052,8.8,76053,Course,213,2022-03-03 09:45:33.341833,2022-03-03 09:45:33.341833
76053,6.3,76054,Course,213,2022-03-03 09:45:34.630438,2022-03-03 09:45:34.630438
76054,9.8,76055,Course,213,2022-03-03 09:45:35.988795,2022-03-03 09:45:35.988795
76055,2.6,76056,Course,213,2022-03-03 09:45:37.273244,2022-03-03 09:45:37.273244
76056,0.4,76057,Course,213,2022-03-03 09:45:38.534384,2022-03-03 09:45:38.534384
76057,2.8,76058,Course,213,2022-03-03 09:45:39.943559,2022-03-03 09:45:39.943559
76058,2.2,76059,Course,213,2022-03-03 09:45:41.210965,2022-03-03 09:45:41.210965
76059,2.8,76060,Course,213,2022-03-03 09:45:42.430054,2022-03-03 09:45:42.430054
76060,7.6,76061,Course,213,2022-03-03 09:45:43.720655,2022-03-03 09:45:43.720655
76061,2.8,76062,Course,213,2022-03-03 09:45:44.991637,2022-03-03 09:45:44.991637
76062,9.0,76063,Course,213,2022-03-03 09:45:46.205293,2022-03-03 09:45:46.205293
76063,7.6,76064,Course,213,2022-03-03 09:45:47.382212,2022-03-03 09:45:47.382212
76064,0.7,76065,Course,213,2022-03-03 09:45:48.634752,2022-03-03 09:45:48.634752
76065,2.4,76066,Course,213,2022-03-03 09:45:49.88828,2022-03-03 09:45:49.88828
76066,5.4,76067,Course,213,2022-03-03 09:45:51.145934,2022-03-03 09:45:51.145934
76067,5.7,76068,Course,213,2022-03-03 09:45:52.400734,2022-03-03 09:45:52.400734
76068,8.9,76069,Course,213,2022-03-03 09:45:53.637274,2022-03-03 09:45:53.637274
76069,5.4,76070,Course,213,2022-03-03 09:45:54.898038,2022-03-03 09:45:54.898038
76070,0.0,76071,Course,213,2022-03-03 09:45:56.211882,2022-03-03 09:45:56.211882
76071,1.0,76072,Course,213,2022-03-03 09:45:57.507413,2022-03-03 09:45:57.507413
76072,4.3,76073,Course,213,2022-03-03 09:45:58.738036,2022-03-03 09:45:58.738036
76073,8.4,76074,Course,213,2022-03-03 09:46:00.043593,2022-03-03 09:46:00.043593
76074,9.6,76075,Course,213,2022-03-03 09:46:01.349802,2022-03-03 09:46:01.349802
76075,2.4,76076,Course,213,2022-03-03 09:46:02.685135,2022-03-03 09:46:02.685135
76076,5.4,76077,Course,213,2022-03-03 09:46:03.970516,2022-03-03 09:46:03.970516
76077,7.9,76078,Course,214,2022-03-03 09:46:05.177963,2022-03-03 09:46:05.177963
76078,0.9,76079,Course,214,2022-03-03 09:46:06.417261,2022-03-03 09:46:06.417261
76079,2.6,76080,Course,214,2022-03-03 09:46:07.673236,2022-03-03 09:46:07.673236
76080,9.5,76081,Course,214,2022-03-03 09:46:08.987537,2022-03-03 09:46:08.987537
76081,5.5,76082,Course,214,2022-03-03 09:46:10.235754,2022-03-03 09:46:10.235754
76082,7.3,76083,Course,214,2022-03-03 09:46:11.574016,2022-03-03 09:46:11.574016
76083,2.3,76084,Course,214,2022-03-03 09:46:12.820307,2022-03-03 09:46:12.820307
76084,1.6,76085,Course,214,2022-03-03 09:46:14.116981,2022-03-03 09:46:14.116981
76085,7.7,76086,Course,214,2022-03-03 09:46:15.378554,2022-03-03 09:46:15.378554
76086,9.6,76087,Course,214,2022-03-03 09:46:16.696698,2022-03-03 09:46:16.696698
76087,3.9,76088,Course,214,2022-03-03 09:46:17.987445,2022-03-03 09:46:17.987445
76088,8.6,76089,Course,214,2022-03-03 09:46:19.247707,2022-03-03 09:46:19.247707
77240,0.0,77241,Course,225,2022-03-03 10:09:21.101683,2022-03-03 10:09:21.101683
77241,2.5,77242,Course,225,2022-03-03 10:09:22.344726,2022-03-03 10:09:22.344726
77242,1.8,77243,Course,225,2022-03-03 10:09:23.461987,2022-03-03 10:09:23.461987
76089,6.8,76090,Course,214,2022-03-03 09:46:20.471616,2022-03-03 09:46:20.471616
76090,8.1,76091,Course,214,2022-03-03 09:46:21.709755,2022-03-03 09:46:21.709755
76091,8.8,76092,Course,214,2022-03-03 09:46:23.041409,2022-03-03 09:46:23.041409
76092,0.5,76093,Course,214,2022-03-03 09:46:24.25899,2022-03-03 09:46:24.25899
76093,4.4,76094,Course,214,2022-03-03 09:46:25.506059,2022-03-03 09:46:25.506059
76094,0.4,76095,Course,214,2022-03-03 09:46:26.768394,2022-03-03 09:46:26.768394
76095,3.6,76096,Course,214,2022-03-03 09:46:28.05431,2022-03-03 09:46:28.05431
76096,1.0,76097,Course,214,2022-03-03 09:46:29.270868,2022-03-03 09:46:29.270868
76097,6.1,76098,Course,214,2022-03-03 09:46:30.528725,2022-03-03 09:46:30.528725
76098,7.4,76099,Course,214,2022-03-03 09:46:31.794267,2022-03-03 09:46:31.794267
76099,9.2,76100,Course,214,2022-03-03 09:46:33.065195,2022-03-03 09:46:33.065195
76100,1.8,76101,Course,214,2022-03-03 09:46:34.32343,2022-03-03 09:46:34.32343
76101,3.9,76102,Course,214,2022-03-03 09:46:35.511628,2022-03-03 09:46:35.511628
76102,0.2,76103,Course,214,2022-03-03 09:46:36.759745,2022-03-03 09:46:36.759745
76103,6.4,76104,Course,214,2022-03-03 09:46:38.054994,2022-03-03 09:46:38.054994
76104,9.4,76105,Course,214,2022-03-03 09:46:39.253235,2022-03-03 09:46:39.253235
76105,7.3,76106,Course,214,2022-03-03 09:46:40.565166,2022-03-03 09:46:40.565166
76106,9.2,76107,Course,214,2022-03-03 09:46:41.75621,2022-03-03 09:46:41.75621
76107,3.6,76108,Course,214,2022-03-03 09:46:43.008835,2022-03-03 09:46:43.008835
76108,3.3,76109,Course,214,2022-03-03 09:46:44.273983,2022-03-03 09:46:44.273983
76109,3.3,76110,Course,214,2022-03-03 09:46:45.441325,2022-03-03 09:46:45.441325
76110,9.8,76111,Course,214,2022-03-03 09:46:46.668506,2022-03-03 09:46:46.668506
76111,8.0,76112,Course,214,2022-03-03 09:46:47.829179,2022-03-03 09:46:47.829179
76112,4.9,76113,Course,214,2022-03-03 09:46:49.052101,2022-03-03 09:46:49.052101
76113,2.8,76114,Course,214,2022-03-03 09:46:50.483548,2022-03-03 09:46:50.483548
76114,0.3,76115,Course,214,2022-03-03 09:46:51.718251,2022-03-03 09:46:51.718251
76115,7.8,76116,Course,214,2022-03-03 09:46:52.925448,2022-03-03 09:46:52.925448
76116,5.0,76117,Course,214,2022-03-03 09:46:54.163865,2022-03-03 09:46:54.163865
76117,3.4,76118,Course,214,2022-03-03 09:46:55.33888,2022-03-03 09:46:55.33888
76118,4.5,76119,Course,214,2022-03-03 09:46:56.567553,2022-03-03 09:46:56.567553
76119,2.5,76120,Course,214,2022-03-03 09:46:57.799808,2022-03-03 09:46:57.799808
76120,2.1,76121,Course,214,2022-03-03 09:46:59.124023,2022-03-03 09:46:59.124023
76121,0.4,76122,Course,214,2022-03-03 09:47:00.445447,2022-03-03 09:47:00.445447
76122,2.9,76123,Course,214,2022-03-03 09:47:01.725764,2022-03-03 09:47:01.725764
76123,8.0,76124,Course,214,2022-03-03 09:47:02.987737,2022-03-03 09:47:02.987737
76124,9.7,76125,Course,214,2022-03-03 09:47:04.26328,2022-03-03 09:47:04.26328
76125,0.3,76126,Course,214,2022-03-03 09:47:05.524546,2022-03-03 09:47:05.524546
76126,7.3,76127,Course,214,2022-03-03 09:47:06.766964,2022-03-03 09:47:06.766964
76127,3.4,76128,Course,214,2022-03-03 09:47:07.941051,2022-03-03 09:47:07.941051
76128,9.0,76129,Course,214,2022-03-03 09:47:09.213895,2022-03-03 09:47:09.213895
76129,8.3,76130,Course,214,2022-03-03 09:47:10.409526,2022-03-03 09:47:10.409526
76130,8.1,76131,Course,214,2022-03-03 09:47:11.610421,2022-03-03 09:47:11.610421
76131,5.3,76132,Course,214,2022-03-03 09:47:12.832448,2022-03-03 09:47:12.832448
76132,0.2,76133,Course,214,2022-03-03 09:47:14.078416,2022-03-03 09:47:14.078416
76133,1.1,76134,Course,214,2022-03-03 09:47:15.269773,2022-03-03 09:47:15.269773
76134,9.8,76135,Course,214,2022-03-03 09:47:16.446306,2022-03-03 09:47:16.446306
76135,5.1,76136,Course,214,2022-03-03 09:47:17.639322,2022-03-03 09:47:17.639322
76136,4.8,76137,Course,214,2022-03-03 09:47:18.834418,2022-03-03 09:47:18.834418
76137,8.2,76138,Course,214,2022-03-03 09:47:20.118585,2022-03-03 09:47:20.118585
76138,1.3,76139,Course,214,2022-03-03 09:47:21.301269,2022-03-03 09:47:21.301269
76139,9.5,76140,Course,214,2022-03-03 09:47:22.539948,2022-03-03 09:47:22.539948
76140,5.2,76141,Course,214,2022-03-03 09:47:23.741789,2022-03-03 09:47:23.741789
76141,1.4,76142,Course,214,2022-03-03 09:47:24.973673,2022-03-03 09:47:24.973673
76142,4.7,76143,Course,214,2022-03-03 09:47:26.228687,2022-03-03 09:47:26.228687
76143,4.6,76144,Course,214,2022-03-03 09:47:27.482859,2022-03-03 09:47:27.482859
76144,7.6,76145,Course,214,2022-03-03 09:47:28.658478,2022-03-03 09:47:28.658478
76145,2.6,76146,Course,214,2022-03-03 09:47:29.821214,2022-03-03 09:47:29.821214
76146,2.6,76147,Course,214,2022-03-03 09:47:31.010173,2022-03-03 09:47:31.010173
76147,1.2,76148,Course,214,2022-03-03 09:47:32.261251,2022-03-03 09:47:32.261251
76148,8.1,76149,Course,214,2022-03-03 09:47:33.514682,2022-03-03 09:47:33.514682
76149,7.3,76150,Course,214,2022-03-03 09:47:34.759658,2022-03-03 09:47:34.759658
76150,2.1,76151,Course,214,2022-03-03 09:47:35.941126,2022-03-03 09:47:35.941126
76151,2.2,76152,Course,214,2022-03-03 09:47:37.173121,2022-03-03 09:47:37.173121
76152,3.1,76153,Course,214,2022-03-03 09:47:38.379481,2022-03-03 09:47:38.379481
76153,2.1,76154,Course,214,2022-03-03 09:47:39.579724,2022-03-03 09:47:39.579724
76154,5.1,76155,Course,214,2022-03-03 09:47:40.895007,2022-03-03 09:47:40.895007
76155,7.3,76156,Course,214,2022-03-03 09:47:42.071458,2022-03-03 09:47:42.071458
76156,8.4,76157,Course,214,2022-03-03 09:47:43.278722,2022-03-03 09:47:43.278722
76157,8.1,76158,Course,214,2022-03-03 09:47:44.513448,2022-03-03 09:47:44.513448
76158,9.9,76159,Course,214,2022-03-03 09:47:45.733452,2022-03-03 09:47:45.733452
76159,8.4,76160,Course,214,2022-03-03 09:47:46.931049,2022-03-03 09:47:46.931049
76160,8.4,76161,Course,214,2022-03-03 09:47:48.109893,2022-03-03 09:47:48.109893
76161,8.8,76162,Course,214,2022-03-03 09:47:49.335582,2022-03-03 09:47:49.335582
76162,7.6,76163,Course,214,2022-03-03 09:47:50.584625,2022-03-03 09:47:50.584625
76163,3.9,76164,Course,214,2022-03-03 09:47:51.865426,2022-03-03 09:47:51.865426
76164,1.5,76165,Course,214,2022-03-03 09:47:53.057098,2022-03-03 09:47:53.057098
76165,5.4,76166,Course,214,2022-03-03 09:47:54.35389,2022-03-03 09:47:54.35389
76166,6.1,76167,Course,214,2022-03-03 09:47:55.60013,2022-03-03 09:47:55.60013
76167,7.7,76168,Course,214,2022-03-03 09:47:56.864372,2022-03-03 09:47:56.864372
76168,3.2,76169,Course,214,2022-03-03 09:47:58.034076,2022-03-03 09:47:58.034076
76169,4.6,76170,Course,214,2022-03-03 09:47:59.335785,2022-03-03 09:47:59.335785
76170,1.7,76171,Course,214,2022-03-03 09:48:00.684311,2022-03-03 09:48:00.684311
76171,4.7,76172,Course,214,2022-03-03 09:48:01.975008,2022-03-03 09:48:01.975008
76172,7.5,76173,Course,214,2022-03-03 09:48:03.300077,2022-03-03 09:48:03.300077
76173,9.2,76174,Course,214,2022-03-03 09:48:04.548567,2022-03-03 09:48:04.548567
76174,9.6,76175,Course,214,2022-03-03 09:48:05.718314,2022-03-03 09:48:05.718314
76175,6.8,76176,Course,214,2022-03-03 09:48:06.848436,2022-03-03 09:48:06.848436
76176,5.9,76177,Course,214,2022-03-03 09:48:08.022128,2022-03-03 09:48:08.022128
76177,5.6,76178,Course,215,2022-03-03 09:48:09.237125,2022-03-03 09:48:09.237125
76178,7.6,76179,Course,215,2022-03-03 09:48:10.444261,2022-03-03 09:48:10.444261
76179,1.1,76180,Course,215,2022-03-03 09:48:11.702163,2022-03-03 09:48:11.702163
76180,4.7,76181,Course,215,2022-03-03 09:48:12.859238,2022-03-03 09:48:12.859238
76181,6.5,76182,Course,215,2022-03-03 09:48:14.068592,2022-03-03 09:48:14.068592
76182,6.5,76183,Course,215,2022-03-03 09:48:15.249161,2022-03-03 09:48:15.249161
76183,6.5,76184,Course,215,2022-03-03 09:48:16.438016,2022-03-03 09:48:16.438016
76184,8.7,76185,Course,215,2022-03-03 09:48:17.572053,2022-03-03 09:48:17.572053
76185,6.8,76186,Course,215,2022-03-03 09:48:18.740287,2022-03-03 09:48:18.740287
76186,5.1,76187,Course,215,2022-03-03 09:48:19.947184,2022-03-03 09:48:19.947184
76187,9.3,76188,Course,215,2022-03-03 09:48:21.152586,2022-03-03 09:48:21.152586
76188,6.4,76189,Course,215,2022-03-03 09:48:22.302208,2022-03-03 09:48:22.302208
76189,9.4,76190,Course,215,2022-03-03 09:48:23.484086,2022-03-03 09:48:23.484086
76190,0.9,76191,Course,215,2022-03-03 09:48:24.635669,2022-03-03 09:48:24.635669
76191,2.7,76192,Course,215,2022-03-03 09:48:25.890356,2022-03-03 09:48:25.890356
76192,1.2,76193,Course,215,2022-03-03 09:48:27.067141,2022-03-03 09:48:27.067141
76193,7.0,76194,Course,215,2022-03-03 09:48:28.216343,2022-03-03 09:48:28.216343
76194,4.7,76195,Course,215,2022-03-03 09:48:29.411508,2022-03-03 09:48:29.411508
76195,6.6,76196,Course,215,2022-03-03 09:48:30.550238,2022-03-03 09:48:30.550238
76196,2.0,76197,Course,215,2022-03-03 09:48:31.782038,2022-03-03 09:48:31.782038
76197,3.2,76198,Course,215,2022-03-03 09:48:32.932856,2022-03-03 09:48:32.932856
76198,8.2,76199,Course,215,2022-03-03 09:48:34.145003,2022-03-03 09:48:34.145003
76199,0.4,76200,Course,215,2022-03-03 09:48:35.312818,2022-03-03 09:48:35.312818
76200,4.5,76201,Course,215,2022-03-03 09:48:36.487708,2022-03-03 09:48:36.487708
76201,5.2,76202,Course,215,2022-03-03 09:48:37.68776,2022-03-03 09:48:37.68776
76202,7.7,76203,Course,215,2022-03-03 09:48:38.885964,2022-03-03 09:48:38.885964
76203,1.2,76204,Course,215,2022-03-03 09:48:40.07473,2022-03-03 09:48:40.07473
76204,0.0,76205,Course,215,2022-03-03 09:48:41.296328,2022-03-03 09:48:41.296328
76205,0.4,76206,Course,215,2022-03-03 09:48:42.554918,2022-03-03 09:48:42.554918
76206,4.3,76207,Course,215,2022-03-03 09:48:43.772459,2022-03-03 09:48:43.772459
76207,9.0,76208,Course,215,2022-03-03 09:48:44.938307,2022-03-03 09:48:44.938307
76208,6.3,76209,Course,215,2022-03-03 09:48:46.185424,2022-03-03 09:48:46.185424
76209,1.1,76210,Course,215,2022-03-03 09:48:47.430977,2022-03-03 09:48:47.430977
76210,6.6,76211,Course,215,2022-03-03 09:48:48.625303,2022-03-03 09:48:48.625303
76211,9.9,76212,Course,215,2022-03-03 09:48:49.843043,2022-03-03 09:48:49.843043
76212,3.0,76213,Course,215,2022-03-03 09:48:51.059547,2022-03-03 09:48:51.059547
76213,8.2,76214,Course,215,2022-03-03 09:48:52.280371,2022-03-03 09:48:52.280371
76214,5.4,76215,Course,215,2022-03-03 09:48:53.446058,2022-03-03 09:48:53.446058
76215,3.5,76216,Course,215,2022-03-03 09:48:54.684396,2022-03-03 09:48:54.684396
76216,7.8,76217,Course,215,2022-03-03 09:48:55.823311,2022-03-03 09:48:55.823311
76217,2.0,76218,Course,215,2022-03-03 09:48:57.016537,2022-03-03 09:48:57.016537
76218,8.4,76219,Course,215,2022-03-03 09:48:58.196822,2022-03-03 09:48:58.196822
76219,2.6,76220,Course,215,2022-03-03 09:48:59.391353,2022-03-03 09:48:59.391353
76220,0.4,76221,Course,215,2022-03-03 09:49:00.71772,2022-03-03 09:49:00.71772
76221,7.9,76222,Course,215,2022-03-03 09:49:01.932511,2022-03-03 09:49:01.932511
76222,6.4,76223,Course,215,2022-03-03 09:49:03.199494,2022-03-03 09:49:03.199494
76223,0.9,76224,Course,215,2022-03-03 09:49:04.389128,2022-03-03 09:49:04.389128
76224,4.5,76225,Course,215,2022-03-03 09:49:05.643313,2022-03-03 09:49:05.643313
76225,3.0,76226,Course,215,2022-03-03 09:49:06.84255,2022-03-03 09:49:06.84255
76226,5.4,76227,Course,215,2022-03-03 09:49:08.04865,2022-03-03 09:49:08.04865
76227,1.6,76228,Course,215,2022-03-03 09:49:09.319325,2022-03-03 09:49:09.319325
76228,7.0,76229,Course,215,2022-03-03 09:49:10.63731,2022-03-03 09:49:10.63731
76229,9.2,76230,Course,215,2022-03-03 09:49:11.910018,2022-03-03 09:49:11.910018
76230,3.8,76231,Course,215,2022-03-03 09:49:13.148929,2022-03-03 09:49:13.148929
76231,9.3,76232,Course,215,2022-03-03 09:49:14.37786,2022-03-03 09:49:14.37786
76232,0.4,76233,Course,215,2022-03-03 09:49:15.564938,2022-03-03 09:49:15.564938
76233,7.5,76234,Course,215,2022-03-03 09:49:16.760736,2022-03-03 09:49:16.760736
76234,8.2,76235,Course,215,2022-03-03 09:49:17.952481,2022-03-03 09:49:17.952481
76235,4.1,76236,Course,215,2022-03-03 09:49:19.185762,2022-03-03 09:49:19.185762
76236,7.1,76237,Course,215,2022-03-03 09:49:20.336859,2022-03-03 09:49:20.336859
76237,0.8,76238,Course,215,2022-03-03 09:49:21.576449,2022-03-03 09:49:21.576449
76238,7.2,76239,Course,215,2022-03-03 09:49:22.768139,2022-03-03 09:49:22.768139
76239,7.4,76240,Course,215,2022-03-03 09:49:24.020525,2022-03-03 09:49:24.020525
76240,2.2,76241,Course,215,2022-03-03 09:49:25.224881,2022-03-03 09:49:25.224881
76241,6.5,76242,Course,215,2022-03-03 09:49:26.445914,2022-03-03 09:49:26.445914
76242,8.3,76243,Course,215,2022-03-03 09:49:27.591319,2022-03-03 09:49:27.591319
76243,3.6,76244,Course,215,2022-03-03 09:49:28.787596,2022-03-03 09:49:28.787596
76244,9.0,76245,Course,215,2022-03-03 09:49:30.033641,2022-03-03 09:49:30.033641
76245,6.8,76246,Course,215,2022-03-03 09:49:31.267053,2022-03-03 09:49:31.267053
76246,7.9,76247,Course,215,2022-03-03 09:49:32.4812,2022-03-03 09:49:32.4812
76247,6.3,76248,Course,215,2022-03-03 09:49:33.630088,2022-03-03 09:49:33.630088
76248,2.5,76249,Course,215,2022-03-03 09:49:34.865024,2022-03-03 09:49:34.865024
76249,0.9,76250,Course,215,2022-03-03 09:49:36.084161,2022-03-03 09:49:36.084161
76250,0.3,76251,Course,215,2022-03-03 09:49:37.258258,2022-03-03 09:49:37.258258
76251,7.8,76252,Course,215,2022-03-03 09:49:38.405876,2022-03-03 09:49:38.405876
76252,8.7,76253,Course,215,2022-03-03 09:49:39.600172,2022-03-03 09:49:39.600172
76253,0.7,76254,Course,215,2022-03-03 09:49:40.761719,2022-03-03 09:49:40.761719
76254,7.7,76255,Course,215,2022-03-03 09:49:42.031274,2022-03-03 09:49:42.031274
76255,9.9,76256,Course,215,2022-03-03 09:49:43.267789,2022-03-03 09:49:43.267789
76256,0.9,76257,Course,215,2022-03-03 09:49:44.520247,2022-03-03 09:49:44.520247
76257,5.7,76258,Course,215,2022-03-03 09:49:45.66852,2022-03-03 09:49:45.66852
76258,2.6,76259,Course,215,2022-03-03 09:49:46.86873,2022-03-03 09:49:46.86873
76259,7.9,76260,Course,215,2022-03-03 09:49:48.037115,2022-03-03 09:49:48.037115
76260,8.0,76261,Course,215,2022-03-03 09:49:49.231664,2022-03-03 09:49:49.231664
76261,8.4,76262,Course,215,2022-03-03 09:49:50.524774,2022-03-03 09:49:50.524774
76262,9.6,76263,Course,215,2022-03-03 09:49:51.698367,2022-03-03 09:49:51.698367
76263,1.5,76264,Course,215,2022-03-03 09:49:52.931626,2022-03-03 09:49:52.931626
76264,8.5,76265,Course,215,2022-03-03 09:49:54.13556,2022-03-03 09:49:54.13556
76265,0.9,76266,Course,215,2022-03-03 09:49:55.348604,2022-03-03 09:49:55.348604
76266,3.1,76267,Course,215,2022-03-03 09:49:56.521489,2022-03-03 09:49:56.521489
76267,5.3,76268,Course,215,2022-03-03 09:49:57.71477,2022-03-03 09:49:57.71477
76268,7.7,76269,Course,215,2022-03-03 09:49:58.923255,2022-03-03 09:49:58.923255
76269,5.6,76270,Course,215,2022-03-03 09:50:00.195282,2022-03-03 09:50:00.195282
76270,6.9,76271,Course,215,2022-03-03 09:50:01.405554,2022-03-03 09:50:01.405554
76271,2.4,76272,Course,215,2022-03-03 09:50:02.820834,2022-03-03 09:50:02.820834
76272,6.0,76273,Course,215,2022-03-03 09:50:04.026415,2022-03-03 09:50:04.026415
76273,0.9,76274,Course,215,2022-03-03 09:50:05.25116,2022-03-03 09:50:05.25116
76274,4.8,76275,Course,215,2022-03-03 09:50:06.435972,2022-03-03 09:50:06.435972
76275,4.4,76276,Course,215,2022-03-03 09:50:07.63644,2022-03-03 09:50:07.63644
76276,1.6,76277,Course,215,2022-03-03 09:50:08.885684,2022-03-03 09:50:08.885684
76277,9.9,76278,Course,216,2022-03-03 09:50:10.129673,2022-03-03 09:50:10.129673
76278,3.5,76279,Course,216,2022-03-03 09:50:11.281789,2022-03-03 09:50:11.281789
76279,3.5,76280,Course,216,2022-03-03 09:50:12.449008,2022-03-03 09:50:12.449008
76280,0.7,76281,Course,216,2022-03-03 09:50:13.603715,2022-03-03 09:50:13.603715
76281,3.1,76282,Course,216,2022-03-03 09:50:14.735015,2022-03-03 09:50:14.735015
76282,2.0,76283,Course,216,2022-03-03 09:50:15.895796,2022-03-03 09:50:15.895796
76283,7.1,76284,Course,216,2022-03-03 09:50:17.059059,2022-03-03 09:50:17.059059
76284,7.9,76285,Course,216,2022-03-03 09:50:18.189724,2022-03-03 09:50:18.189724
76285,3.2,76286,Course,216,2022-03-03 09:50:19.372542,2022-03-03 09:50:19.372542
77243,8.4,77244,Course,225,2022-03-03 10:09:24.609471,2022-03-03 10:09:24.609471
77244,7.2,77245,Course,225,2022-03-03 10:09:25.797256,2022-03-03 10:09:25.797256
